Parts;Description;Qty;Value;Device;Package;MPN;VALUE
C1, C2, C4, C7, C11, C15, C16, C17;302010138;8;100nf;CERAMIC-100NF-50V-10%-X7R(0603);C0603;CC0603KRX7R9BB104;100nf
C3, C5;302010103;2;10uf;CERAMIC-10UF-10V-10%-X5R(0603);C0603;CC0603KRX5R6BB106;10uf
C6;302010141;1;1nf;CERAMIC-1NF-50V-10%-X7R(0603);C0603;CC0603KRX7R9BB102;1nf
C8;302010341;1;2.2nf;CERAMIC-1NF-50V-5%-C0G(0603);C0603;GRM1885C1H102JA01D;1nf
C9;302010140;1;10nf;CERAMIC-10NF-50V-10%-X7R(0603);C0603;CC0603KRX7R9BB103;10nf
C10, C12, C14;302010138;3;1uF;CERAMIC-100NF-50V-10%-X7R(0603);C0603;CC0603KRX7R9BB104;100nf
C13;302010183;1;100uf;CERAMIC-100UF-6.3V-20%-X5R(1206);C1206;GRM31CR60J107ME39L;100uf
R1, R4, R5, R7, R8, R9, R10, R11;301010291;8;1K 1/10W;SMD-RES-1K-5%-1/10W(0603);R0603;RC0603JR-071KL;1K 1/10W
R2, R3;301010124;2;2.2K;SMD-RES-2.2K-5%-1/10W(0603);R0603;RC0603JR-072K2L;2.2K
R6;301010293;1;10K 1/10W;SMD-RES-10K-5%-1/10W(0603);R0603;RC0603JR-0710KL;10K 1/10W
L1, L2;303030001;2;120OHM-500MA;SMD-FERRITE-CHIP-120-OHM-500MA(0603);L0603;BLM18AG121SN1D;120OHM-500MA
LED1;304090043;1;GREEN-0603;SMD-LED-CLEAR-GREEN(0603);LED-0603;19-217-G7C-AN1P2-3T;GREEN-0603
LED2;304090044;1;YELLOW-0603;SMD-LED-CLEAR-YELLOW(0603);LED-0603;19-217-Y5C-AM1N1VY-3T;YELLOW-0603
U1;310030046;1;XC6204B332MR-SOT23-5;PMIC-LDO-XC6204B332MR(SOT23-5);SOT-23-5;XC6204B332MR;XC6204B332MR-SOT23-5
U2;CY8C4245PVI-482;1;CY8C4245PVI-482;CY8C4245PVI-482;SSOP28;CY8C4245PVI-482;
AIO, DIO, I2C, UART;320110034;4;4P-2.0-90D;GROVE-CONNECTOR-DIP-90D(4P-2.0);HW4-2.0-90D;;4P-2.0-90D
FTDI;320020078;1;6P-2.54;DIP-BLACK-MALE-HEADER(6P-2.54);H6-2.54;P125-1106A1BS116A1;6p-2.54
J1;320020078;1;3P-2.54;DIP-BLACK-MALE-HEADER-VERT(3P-2.54);H3-2.54;;
