"Part/Designator","Manufacture Part Number/Seeed SKU",Quantity
"C1, C2, C4, C7, C11, C15, C16, C17","302010138","8"
"C3, C5","302010103","2"
"C6","302010141","1"
"C8","302010341","1"
"C9","302010140","1"
"C10, C12, C14","302010138","3"
"C13","302010183","1"
"R1, R4, R5, R7, R8, R9, R10, R11","301010291","8"
"R2, R3","301010124","2"
"R6","301010293","1"
"L1, L2","303030001","2"
"LED1","304090043","1"
"LED2","304090044","1"
"U1","310030095","1"
"U2","CY8C4245PVI-482","1"
"AIO, DIO, I2C, UART","320110034","4"
"FTDI","320020078","1"
"J1","320020078","1"
