"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U1";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";
"1";"CY8C4XXX-28";"CY8C4XXX-28";"SSOP28";"U2";"Cypress PSoC® 4 - Programmable System on Chip,  Cortex-M0 Based";"";
"1";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"LED2";"304090044";"";
"1";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"LED1";"304090043";"";
"2";"120OHM-500MA";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L1, L2";"303030001";"";
"10";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"R1, R2, R3, R4, R5, R9, R10, R11, R12, R13";"301010291";"";
"3";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"R6, R7, R8";"301010293";"";
"1";"2.2nf";"CERAMIC-1NF-50V-5%-C0G(0603)";"C0603";"C8";"302010341";"";
"1";"10nf";"CERAMIC-10NF-50V-10%-X7R(0603)";"C0603";"C9";"302010140";"";
"9";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C1, C2, C4, C6, C7, C11, C15, C16, C17";"302010138";"";
"3";"1uF";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C10, C12, C14";"302010138";"";
"2";"10uf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"C3, C5";"302010103";"";
"1";"47uf";"CERAMIC-47UF-6.3V-20%-X5R(1206)";"C1206";"C13";"302010183";"";
"4";"4P-2.0-90D";"GROVE-CONNECTOR-DIP-90D(4P-2.0)";"HW4-2.0-90D";"J2, J3, J4, J5";"320110034";"";
"1";"6p-2.54";"DIP-BLACK-MALE-HEADER(6P-2.54)";"H6-2.54";"FTDI";"320020078";"";
"1";"";"M02PTH";"1X02";"5V0, GND";"Header 2 Pin Male";"";
"1";"JTAG-ISSPMIN";"JTAG-ISSPMIN";"PSOC_JTAG_MINSILK";"JTAG";"JTAG-ISSP Programming Connector";"";
"1";"NO";"JMP-3-NO-PTH";"JMP-3-NO-PTH-2.54";"J1";"Three Terminal Jumper - Normally Open";"";
"1";"TSOC-PCB-SINGLE";"TSOC-PCB-SINGLE";"TSOC-BB-BRD-DIM";"$$U$1";"thingSoC PCB Outlines";"";
